"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2017-03-06 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","61","2","Moderate"
"2017-03-07 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2017-03-07 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","62","2","Moderate"
"2017-03-08 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","49","1","Good"
"2017-03-08 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","12","1","Good"
"2017-03-09 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","61","2","Moderate"
"2017-03-09 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","25","1","Good"
"2017-03-10 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2017-03-10 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","18","1","Good"
"2017-03-11 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2017-03-11 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","20","1","Good"
"2017-03-12 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","42","1","Good"
"2017-03-12 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","37","1","Good"
"2017-03-13 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","45","1","Good"
"2017-03-13 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","40","1","Good"
"2017-03-14 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","42","1","Good"
"2017-03-14 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","32","1","Good"
"2017-03-15 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2017-03-15 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","24","1","Good"
"2017-03-16 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","47","1","Good"
"2017-03-16 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","32","1","Good"
"2017-03-17 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","48","1","Good"
"2017-03-17 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","53","2","Moderate"
"2017-03-18 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2017-03-18 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","58","2","Moderate"
"2017-03-19 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","38","1","Good"
"2017-03-19 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","50","1","Good"
"2017-03-20 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2017-03-20 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","56","2","Moderate"
"2017-03-21 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","45","1","Good"
"2017-03-21 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","61","2","Moderate"
"2017-03-22 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","45","1","Good"
"2017-03-22 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","19","1","Good"
"2017-03-23 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","49","1","Good"
"2017-03-23 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","24","1","Good"
"2017-03-24 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
