"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2014-04-03 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2014-04-03 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","62","2","Moderate"
"2014-04-04 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2014-04-04 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","57","2","Moderate"
"2014-04-05 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","43","1","Good"
"2014-04-05 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2014-04-06 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","51","2","Moderate"
"2014-04-06 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2014-04-07 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2014-04-07 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","30","1","Good"
"2014-04-08 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","48","1","Good"
"2014-04-08 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","36","1","Good"
"2014-04-09 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","58","2","Moderate"
"2014-04-09 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","41","1","Good"
"2014-04-10 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","64","2","Moderate"
"2014-04-10 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","36","1","Good"
"2014-04-11 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","49","1","Good"
"2014-04-11 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","44","1","Good"
"2014-04-12 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","67","2","Moderate"
"2014-04-12 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","40","1","Good"
"2014-04-13 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","71","2","Moderate"
"2014-04-13 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","55","2","Moderate"
"2014-04-14 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","45","1","Good"
"2014-04-14 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","32","1","Good"
"2014-04-15 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","38","1","Good"
"2014-04-15 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","15","1","Good"
"2014-04-16 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","45","1","Good"
"2014-04-16 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","25","1","Good"
"2014-04-17 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","49","1","Good"
"2014-04-17 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","33","1","Good"
"2014-04-18 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","47","1","Good"
"2014-04-18 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","45","1","Good"
"2014-04-19 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","58","2","Moderate"
"2014-04-19 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","52","2","Moderate"
"2014-04-20 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","74","2","Moderate"
"2014-04-20 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","36","1","Good"
"2014-04-21 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","87","2","Moderate"
"2014-04-21 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","36","1","Good"
